time,x,y
4.800000000000e0,6.324744305873e-1,1.856225292117e0
4.850000000000e0,6.440817991485e-1,1.825285021321e0
4.900000000000e0,6.563040954884e-1,1.794967391826e0
4.950000000000e0,6.691598327562e-1,1.765263988133e0
5.000000000000e0,6.826686769421e-1,1.736166535893e0
5.050000000000e0,6.968514757480e-1,1.707666907849e0
5.100000000000e0,7.117302898717e-1,1.679757129482e0
5.150000000000e0,7.273284266761e-1,1.652429384389e0
5.200000000000e0,7.436704762230e-1,1.625676019450e0
5.250000000000e0,7.607823496497e-1,1.599489549812e0
5.300000000000e0,7.786913198722e-1,1.573862663745e0
5.350000000000e0,7.974260645975e-1,1.548788227395e0
5.400000000000e0,8.170167116287e-1,1.524259289477e0
5.450000000000e0,8.374948864466e-1,1.500269085946e0
5.500000000000e0,8.588937620474e-1,1.476811044680e0
5.550000000000e0,8.812481110146e-1,1.453878790207e0
5.600000000000e0,9.045943598004e-1,1.431466148521e0
5.650000000000e0,9.289706451828e-1,1.409567152017e0
5.700000000000e0,9.544168728613e-1,1.388176044577e0
5.750000000000e0,9.809747781451e-1,1.367287286857e0
5.800000000000e0,1.008687988675e0,1.346895561800e0
5.850000000000e0,1.037602089114e0,1.326995780423e0
5.900000000000e0,1.067764687724e0,1.307583087915e0
5.950000000000e0,1.099225484726e0,1.288652870096e0
6.000000000000e0,1.132036342343e0,1.270200760262e0
6.050000000000e0,1.166251356371e0,1.252222646497e0
6.100000000000e0,1.201926929132e0,1.234714679467e0
6.150000000000e0,1.239121843622e0,1.217673280777e0
6.200000000000e0,1.277897338635e0,1.201095151929e0
6.250000000000e0,1.318317184613e0,1.184977283954e0
6.300000000000e0,1.360447759942e0,1.169316967784e0
6.350000000000e0,1.404358127355e0,1.154111805422e0
6.400000000000e0,1.450120110072e0,1.139359722005e0
6.450000000000e0,1.497808367244e0,1.125058978823e0
6.500000000000e0,1.547500468210e0,1.111208187406e0
6.550000000000e0,1.599276965004e0,1.097806324749e0
6.600000000000e0,1.653221462493e0,1.084852749811e0
6.650000000000e0,1.709420685418e0,1.072347221378e0
6.700000000000e0,1.767964541538e0,1.060289917423e0
6.750000000000e0,1.828946179966e0,1.048681456111e0
6.800000000000e0,1.892462043663e0,1.037522918579e0
6.850000000000e0,1.958611914955e0,1.026815873668e0
6.900000000000e0,2.027498952754e0,1.016562404779e0
6.950000000000e0,2.099229720059e0,1.006765139050e0
7.000000000000e0,2.173914200086e0,9.974272790676e-1
7.050000000000e0,2.251665799225e0,9.885526373415e-1
7.100000000000e0,2.332601334776e0,9.801456738057e-1
7.150000000000e0,2.416841005207e0,9.722115366217e-1
7.200000000000e0,2.504508340379e0,9.647561065912e-1
7.250000000000e0,2.595730128934e0,9.577860455165e-1
7.300000000000e0,2.690636319676e0,9.513088488772e-1
7.350000000000e0,2.789359893462e0,9.453329032260e-1
7.400000000000e0,2.892036701686e0,9.398675487499e-1
7.450000000000e0,2.998805267051e0,9.349231474797e-1
7.500000000000e0,3.109806541802e0,9.305111576798e-1
7.550000000000e0,3.225183618120e0,9.266442150011e-1
7.600000000000e0,3.345081384747e0,9.233362210304e-1
7.650000000000e0,3.469646123341e0,9.206024399329e-1
7.700000000000e0,3.599025037330e0,9.184596039430e-1
7.750000000000e0,3.733365705300e0,9.169260285283e-1
7.800000000000e0,3.872815450139e0,9.160217381225e-1
7.850000000000e0,4.017520614279e0,9.157686033998e-1
7.900000000000e0,4.167625730402e0,9.161904911388e-1
7.950000000000e0,4.323272575982e0,9.173134278099e-1
8.000000000000e0,4.484599098908e0,9.191657781005e-1
8.050000000000e0,4.651738200301e0,9.217784396753e-1
8.100000000000e0,4.824816359375e0,9.251850555509e-1
8.150000000000e0,5.003952083944e0,9.294222455355e-1
8.200000000000e0,5.189254168857e0,9.345298582525e-1
8.250000000000e0,5.380819743278e0,9.405512453131e-1
8.300000000000e0,5.578732086470e0,9.475335592327e-1
8.350000000000e0,5.783058190408e0,9.555280766783e-1
8.400000000000e0,5.993846046449e0,9.645905485902e-1
8.450000000000e0,6.211121632246e0,9.747815786137e-1
8.500000000000e0,6.434885574435e0,9.861670310986e-1
8.550000000000e0,6.665109462235e0,9.988184696432e-1
8.600000000000e0,6.901731787340e0,1.012813626758e0
