time,x,v,u
4.820000000000e+00,7.801091629495e-01,-5.412884633029e-01,-2.303208129713e-01
4.840000000000e+00,7.691139438742e-01,-5.582251928144e-01,-2.439214034132e-01
4.860000000000e+00,7.577805100194e-01,-5.751087077549e-01,-2.574741860409e-01
4.880000000000e+00,7.461099996441e-01,-5.919316137074e-01,-2.709765045524e-01
4.900000000000e+00,7.341036987453e-01,-6.086865317913e-01,-2.844257125365e-01
4.920000000000e+00,7.217630407168e-01,-6.253661017144e-01,-2.978191739914e-01
4.940000000000e+00,7.090896059470e-01,-6.419629848100e-01,-3.111542638417e-01
4.960000000000e+00,6.960851213562e-01,-6.584698670569e-01,-3.244283684523e-01
4.980000000000e+00,6.827514598738e-01,-6.748794620818e-01,-3.376388861414e-01
5.000000000000e+00,6.690906398552e-01,-6.911845141434e-01,-3.507832276896e-01
5.020000000000e+00,6.551048244394e-01,-7.073778010962e-01,-3.638588168482e-01
5.040000000000e+00,6.407963208481e-01,-7.234521373328e-01,-3.768630908435e-01
5.060000000000e+00,6.261675796253e-01,-7.394003767053e-01,-3.897935008794e-01
5.080000000000e+00,6.112211938191e-01,-7.552154154223e-01,-4.026475126371e-01
5.100000000000e+00,5.959598981061e-01,-7.708901949222e-01,-4.154226067712e-01
5.120000000000e+00,5.803865678578e-01,-7.864177047209e-01,-4.281162794044e-01
5.140000000000e+00,5.645042181514e-01,-8.017909852334e-01,-4.407260426173e-01
5.160000000000e+00,5.483160027233e-01,-8.170031305677e-01,-4.532494249367e-01
5.180000000000e+00,5.318252128677e-01,-8.320472912904e-01,-4.656839718199e-01
5.200000000000e+00,5.150352762802e-01,-8.469166771628e-01,-4.780272461353e-01
5.220000000000e+00,4.979497558466e-01,-8.616045598465e-01,-4.902768286409e-01
5.240000000000e+00,4.805723483781e-01,-8.761042755780e-01,-5.024303184575e-01
5.260000000000e+00,4.629068832935e-01,-8.904092278105e-01,-5.144853335402e-01
5.280000000000e+00,4.449573212484e-01,-9.045128898228e-01,-5.264395111446e-01
5.300000000000e+00,4.267277527132e-01,-9.184088072936e-01,-5.382905082900e-01
5.320000000000e+00,4.082223964997e-01,-9.320906008412e-01,-5.500360022191e-01
5.340000000000e+00,3.894455982367e-01,-9.455519685271e-01,-5.616736908525e-01
5.360000000000e+00,3.704018287971e-01,-9.587866883224e-01,-5.732012932407e-01
5.380000000000e+00,3.510956826747e-01,-9.717886205370e-01,-5.846165500103e-01
5.400000000000e+00,3.315318763140e-01,-9.845517102104e-01,-5.959172238077e-01
5.420000000000e+00,3.117152463916e-01,-9.970699894623e-01,-6.071010997370e-01
5.440000000000e+00,2.916507480517e-01,-1.009337579804e+00,-6.181659857942e-01
5.460000000000e+00,2.713434530955e-01,-1.021348694410e+00,-6.291097132972e-01
5.480000000000e+00,2.507985481253e-01,-1.033097640344e+00,-6.399301373103e-01
5.500000000000e+00,2.300213326451e-01,-1.044578820748e+00,-6.506251370652e-01
5.520000000000e+00,2.090172171173e-01,-1.055786736982e+00,-6.611926163760e-01
5.540000000000e+00,1.877917209774e-01,-1.066715990728e+00,-6.716305040507e-01
5.560000000000e+00,1.663504706069e-01,-1.077361286043e+00,-6.819367542967e-01
5.580000000000e+00,1.446991972657e-01,-1.087717431367e+00,-6.921093471219e-01
5.600000000000e+00,1.228437349845e-01,-1.097779341491e+00,-7.021462887308e-01
5.620000000000e+00,1.007900184187e-01,-1.107542039472e+00,-7.120456119149e-01
5.640000000000e+00,7.854408066442e-02,-1.117000658506e+00,-7.218053764385e-01
5.660000000000e+00,5.611205103701e-02,-1.126150443750e+00,-7.314236694190e-01
5.680000000000e+00,3.350015281436e-02,-1.134986754100e+00,-7.408986057019e-01
5.700000000000e+00,1.071470094460e-02,-1.143505063915e+00,-7.502283282299e-01
5.720000000000e+00,-1.223790027999e-02,-1.151700964697e+00,-7.594110084073e-01
5.740000000000e+00,-3.535115958220e-02,-1.159570166719e+00,-7.684448464581e-01
5.760000000000e+00,-5.861850109118e-02,-1.167108500602e+00,-7.773280717791e-01
5.780000000000e+00,-8.203326676479e-02,-1.174311918845e+00,-7.860589432865e-01
5.800000000000e+00,-1.055887188420e-01,-1.181176497303e+00,-7.946357497574e-01
5.820000000000e+00,-1.292780423243e-01,-1.187698436608e+00,-8.030568101652e-01
5.840000000000e+00,-1.530943474851e-01,-1.193874063548e+00,-8.113204740091e-01
5.860000000000e+00,-1.770306724062e-01,-1.199699832385e+00,-8.194251216374e-01
5.880000000000e+00,-2.010799855402e-01,-1.205172326130e+00,-8.273691645650e-01
5.900000000000e+00,-2.252351882972e-01,-1.210288257754e+00,-8.351510457851e-01
5.920000000000e+00,-2.494891176564e-01,-1.215044471357e+00,-8.427692400738e-01
5.940000000000e+00,-2.738345487994e-01,-1.219437943275e+00,-8.502222542893e-01
5.960000000000e+00,-2.982641977658e-01,-1.223465783141e+00,-8.575086276649e-01
5.980000000000e+00,-3.227707241294e-01,-1.227125234887e+00,-8.646269320946e-01
6.000000000000e+00,-3.473467336933e-01,-1.230413677692e+00,-8.715757724136e-01
6.020000000000e+00,-3.719847812043e-01,-1.233328626880e+00,-8.783537866713e-01
6.040000000000e+00,-3.966773730843e-01,-1.235867734762e+00,-8.849596463988e-01
6.060000000000e+00,-4.214169701777e-01,-1.238028791421e+00,-8.913920568686e-01
6.080000000000e+00,-4.461959905144e-01,-1.239809725445e+00,-8.976497573488e-01
6.100000000000e+00,-4.710068120871e-01,-1.241208604604e+00,-9.037315213503e-01
6.120000000000e+00,-4.958417756407e-01,-1.242223636477e+00,-9.096361568667e-01
6.140000000000e+00,-5.206931874746e-01,-1.242853169014e+00,-9.153625066084e-01
6.160000000000e+00,-5.455533222552e-01,-1.243095691057e+00,-9.209094482292e-01
6.180000000000e+00,-5.704144258387e-01,-1.242949832791e+00,-9.262758945462e-01
6.200000000000e+00,-5.952687181017e-01,-1.242414366155e+00,-9.314607937532e-01
6.220000000000e+00,-6.201083957801e-01,-1.241488205187e+00,-9.364631296266e-01
6.240000000000e+00,-6.449256353140e-01,-1.240170406320e+00,-9.412819217244e-01
6.260000000000e+00,-6.697125956983e-01,-1.238460168622e+00,-9.459162255789e-01
6.280000000000e+00,-6.944614213370e-01,-1.236356833979e+00,-9.503651328814e-01
6.300000000000e+00,-7.191642449013e-01,-1.233859887230e+00,-9.546277716602e-01
6.320000000000e+00,-7.438131901895e-01,-1.230968956242e+00,-9.587033064519e-01
6.340000000000e+00,-7.684003749873e-01,-1.227683811928e+00,-9.625909384646e-01
6.360000000000e+00,-7.929179139293e-01,-1.224004368222e+00,-9.662899057349e-01
6.380000000000e+00,-8.173579213583e-01,-1.219930681992e+00,-9.697994832771e-01
6.400000000000e+00,-8.417125141825e-01,-1.215462952896e+00,-9.731189832252e-01
6.420000000000e+00,-8.659738147298e-01,-1.210601523197e+00,-9.762477549678e-01
6.440000000000e+00,-8.901339535972e-01,-1.205346877512e+00,-9.791851852758e-01
6.460000000000e+00,-9.141850724954e-01,-1.199699642518e+00,-9.819306984221e-01
6.480000000000e+00,-9.381193270860e-01,-1.193660586596e+00,-9.844837562949e-01
6.500000000000e+00,-9.619288898123e-01,-1.187230619433e+00,-9.868438585032e-01
6.520000000000e+00,-9.856059527206e-01,-1.180410791566e+00,-9.890105424744e-01
6.540000000000e+00,-1.009142730272e+00,-1.173202293873e+00,-9.909833835455e-01
6.560000000000e+00,-1.032531462144e+00,-1.165606457017e+00,-9.927619950458e-01
6.580000000000e+00,-1.055764416021e+00,-1.157624750837e+00,-9.943460283732e-01
6.600000000000e+00,-1.078833890369e+00,-1.149258783692e+00,-9.957351730622e-01
6.620000000000e+00,-1.101732217201e+00,-1.140510301746e+00,-9.969291568450e-01
6.640000000000e+00,-1.124451764827e+00,-1.131381188214e+00,-9.979277457046e-01
6.660000000000e+00,-1.146984940582e+00,-1.121873462555e+00,-9.987307439206e-01
6.680000000000e+00,-1.169324193547e+00,-1.111989279612e+00,-9.993379941081e-01
6.700000000000e+00,-1.191462017247e+00,-1.101730928710e+00,-9.997493772480e-01
